Train signal size,Train background size,Validation signal size,Validation background size,Test signal size,Test background size,Loss,ACC,AUC,Loss-true,ACC-true,AUC-true,Sample Type,Model Name,Training epochs,time
947,2638,238,661,10000,10000,0.4883379936218261,0.7942157953281423,0.7710052250854955,0.8164845705032349,0.59725,0.63201982,mjj: 300 GeV,mjj_cut_01,56,2025-02-18 16:12:48.365802
947,2638,238,661,10000,10000,0.4681621789932251,0.8031145717463849,0.7891913194930014,0.7894373536109924,0.59105,0.6166894300000001,mjj: 300 GeV,mjj_cut_02,52,2025-02-18 16:14:16.789032
947,2638,238,661,10000,10000,0.4645082354545593,0.7919911012235817,0.7965140670489073,0.7823418974876404,0.5754,0.594820625,mjj: 300 GeV,mjj_cut_03,73,2025-02-18 16:16:01.869992
947,2638,238,661,10000,10000,0.4984452724456787,0.7753058954393771,0.7598939727176801,0.7904638648033142,0.57835,0.60871351,mjj: 300 GeV,mjj_cut_04,51,2025-02-18 16:17:18.503575
947,2638,238,661,10000,10000,0.5856270790100098,0.7586206896551724,0.6420816435500071,0.7125955820083618,0.58305,0.6145472550000001,mjj: 300 GeV,mjj_cut_05,30,2025-02-18 16:18:12.435843
947,2638,238,661,10000,10000,0.5181883573532104,0.764182424916574,0.7446128224360848,0.793910801410675,0.57305,0.592090615,mjj: 300 GeV,mjj_cut_06,76,2025-02-18 16:19:40.720551
947,2638,238,661,10000,10000,0.5034846067428589,0.7797552836484983,0.7469011810473055,0.8006876111030579,0.60205,0.63580928,mjj: 300 GeV,mjj_cut_07,39,2025-02-18 16:20:41.501298
947,2638,238,661,10000,10000,0.4730214178562164,0.7942157953281423,0.7952236870542468,0.7744442820549011,0.5987,0.6335649700000001,mjj: 300 GeV,mjj_cut_08,50,2025-02-18 16:21:49.267669
947,2638,238,661,10000,10000,0.5211107730865479,0.7697441601779755,0.7124613839484356,0.7752519845962524,0.5857,0.61555313,mjj: 300 GeV,mjj_cut_09,35,2025-02-18 16:22:50.197367
947,2638,238,661,10000,10000,0.5084825754165649,0.7764182424916574,0.7399471134898739,0.7499561905860901,0.58285,0.61626544,mjj: 300 GeV,mjj_cut_10,32,2025-02-18 16:23:50.886833
948,2638,237,661,10000,10000,0.4139156341552734,0.8273942093541202,0.8614233644203578,0.7610209584236145,0.5909,0.61799499,deta: 3.1,deta_cut_01,76,2025-02-18 16:51:26.448613
948,2638,237,661,10000,10000,0.4816701114177704,0.7761692650334076,0.7795502275672328,0.740196704864502,0.59175,0.61491946,deta: 3.1,deta_cut_02,44,2025-02-18 16:52:36.128112
836,2237,210,561,10000,10000,0.4206502735614776,0.814526588845655,0.853102453102453,0.8248581886291504,0.5778,0.604966765,"mjj: 300 GeV, deta: 3.1",mjj_deta_cut_01,85,2025-02-18 16:53:33.562116
948,2638,237,661,10000,10000,0.4753472805023193,0.7917594654788419,0.7982790427494462,0.7383677363395691,0.595,0.61790381,deta: 3.1,deta_cut_03,51,2025-02-18 16:53:53.666142
836,2237,210,561,10000,10000,0.542770504951477,0.754863813229572,0.6914098972922502,0.7769577503204346,0.53335,0.542814285,"mjj: 300 GeV, deta: 3.1",mjj_deta_cut_02,22,2025-02-18 16:54:25.794382
948,2638,237,661,10000,10000,0.4216668009757995,0.8307349665924276,0.8641235310263825,0.7311214804649353,0.6008,0.62429475,deta: 3.1,deta_cut_04,67,2025-02-18 16:55:23.718352
836,2237,210,561,10000,10000,0.5109044909477234,0.795071335927367,0.7597317714964774,0.7482811212539673,0.5718,0.590649015,"mjj: 300 GeV, deta: 3.1",mjj_deta_cut_03,53,2025-02-18 16:55:32.136661
836,2237,210,561,10000,10000,0.5191789269447327,0.7704280155642024,0.7334097275273745,0.781328558921814,0.54885,0.562674675,"mjj: 300 GeV, deta: 3.1",mjj_deta_cut_04,33,2025-02-18 16:56:41.094549
948,2638,237,661,10000,10000,0.4435656368732452,0.7939866369710468,0.8260275634028482,0.8090100884437561,0.58455,0.59932926,deta: 3.1,deta_cut_05,58,2025-02-18 16:57:08.184118
836,2237,210,561,10000,10000,0.5812978148460388,0.7302204928664072,0.6139292080468551,0.7522918581962585,0.51475,0.5206873249999999,"mjj: 300 GeV, deta: 3.1",mjj_deta_cut_05,15,2025-02-18 16:57:39.264576
948,2638,237,661,10000,10000,0.4844487905502319,0.7806236080178174,0.7753435850297146,0.7889118194580078,0.56995,0.583934685,deta: 3.1,deta_cut_06,40,2025-02-18 16:58:42.967259
836,2237,210,561,10000,10000,0.4895827770233154,0.7846952010376135,0.7858755623461504,0.8090220093727112,0.57265,0.59541165,"mjj: 300 GeV, deta: 3.1",mjj_deta_cut_06,64,2025-02-18 16:58:59.983615
948,2638,237,661,10000,10000,0.4983585476875305,0.7828507795100222,0.7435607728987532,0.7795555591583252,0.56645,0.58064007,deta: 3.1,deta_cut_07,35,2025-02-18 17:00:05.834963
836,2237,210,561,10000,10000,0.494167298078537,0.7872892347600519,0.7761395467277821,0.7819841504096985,0.56765,0.591828375,"mjj: 300 GeV, deta: 3.1",mjj_deta_cut_07,44,2025-02-18 17:00:10.986159
948,2638,237,661,10000,10000,0.5145289897918701,0.7717149220489977,0.7406627217424054,0.7328258156776428,0.57965,0.6008505849999999,deta: 3.1,deta_cut_08,25,2025-02-18 17:01:06.416803
836,2237,210,561,10000,10000,0.5041235685348511,0.7574578469520103,0.7443001443001442,0.7833684086799622,0.5547,0.572589445,"mjj: 300 GeV, deta: 3.1",mjj_deta_cut_08,21,2025-02-18 17:01:21.844824
948,2638,237,661,10000,10000,0.460245668888092,0.8017817371937639,0.8046943322034763,0.7624947428703308,0.58905,0.6087606999999999,deta: 3.1,deta_cut_09,49,2025-02-18 17:02:22.859624
836,2237,210,561,10000,10000,0.4835435152053833,0.795071335927367,0.7794839147780324,0.7598260045051575,0.57115,0.593372235,"mjj: 300 GeV, deta: 3.1",mjj_deta_cut_09,35,2025-02-18 17:02:42.814304
836,2237,210,561,10000,10000,0.5153800845146179,0.7509727626459144,0.7333503098208981,0.799278974533081,0.55,0.566314175,"mjj: 300 GeV, deta: 3.1",mjj_deta_cut_10,24,2025-02-18 17:03:49.591390
948,2638,237,661,10000,10000,0.4067208468914032,0.8051224944320713,0.8510695340776345,0.7696706652641296,0.58745,0.61164409,deta: 3.1,deta_cut_10,74,2025-02-18 17:04:09.526831
13462,22419,3367,5606,10000,10000,0.183420643210411,0.9355845313718936,0.9797974633864752,2.142334461212158,0.6127,0.644993675,"deta: 3.1, L: 3000 fb^-1",deta_cut_06,40,2025-03-08 18:00:49.111794
14900,20982,3726,5247,10000,10000,0.2308695614337921,0.908280396745793,0.96924099255245,1.7622429132461548,0.59215,0.620974095,"mjj: 300 GeV, L: 3000 fb^-1",mjj_cut_01,40,2025-03-08 18:00:58.666935
14900,20982,3726,5247,10000,10000,0.2320189476013183,0.9048255878747352,0.9674812517154447,1.672896146774292,0.6068,0.63368245,"mjj: 300 GeV, L: 3000 fb^-1",mjj_cut_02,33,2025-03-08 18:02:57.560036
13462,22419,3367,5606,10000,10000,0.1851308792829513,0.9313496043686617,0.978909482298708,2.1358895301818848,0.6158,0.649791555,"deta: 3.1, L: 3000 fb^-1",deta_cut_07,36,2025-03-08 18:03:03.535986
14900,20982,3726,5247,10000,10000,0.2298776805400848,0.9053828151120028,0.9688302832045428,1.838641166687012,0.5893,0.6110671249999999,"mjj: 300 GeV, L: 3000 fb^-1",mjj_cut_03,39,2025-03-08 18:05:16.220251
13462,22419,3367,5606,10000,10000,0.1987083256244659,0.9273375682603364,0.978380566411248,2.23569655418396,0.61315,0.6483188750000001,"deta: 3.1, L: 3000 fb^-1",deta_cut_08,45,2025-03-08 18:05:30.275532
13462,22419,3367,5606,10000,10000,0.1807063370943069,0.9334670678702774,0.9801435752202788,1.8947203159332275,0.62305,0.657096195,"deta: 3.1, L: 3000 fb^-1",deta_cut_09,36,2025-03-08 18:07:40.690837
14900,20982,3726,5247,10000,10000,0.2386757135391235,0.9056057060069096,0.9679839800081044,1.7775931358337402,0.59805,0.6246317100000001,"mjj: 300 GeV, L: 3000 fb^-1",mjj_cut_04,40,2025-03-08 18:07:41.836520
13462,22419,3367,5606,10000,10000,0.1933450102806091,0.9288978045246852,0.9766339810934888,1.89705491065979,0.61505,0.64612311,"deta: 3.1, L: 3000 fb^-1",deta_cut_10,35,2025-03-08 18:09:49.417668
14900,20982,3726,5247,10000,10000,0.2302373945713043,0.9049370333221888,0.9685467584625972,1.689626932144165,0.6016,0.62772333,"mjj: 300 GeV, L: 3000 fb^-1",mjj_cut_05,38,2025-03-08 18:09:57.567463
14900,20982,3726,5247,10000,10000,0.2118535041809082,0.9112894238270368,0.972288487115455,1.738795280456543,0.6015,0.63141331,"mjj: 300 GeV, L: 3000 fb^-1",mjj_cut_06,38,2025-03-08 18:12:12.991261
14900,20982,3726,5247,10000,10000,0.2381278276443481,0.90594004234927,0.967487133971502,1.7249834537506104,0.59915,0.62770114,"mjj: 300 GeV, L: 3000 fb^-1",mjj_cut_07,42,2025-03-08 18:14:38.078872
14900,20982,3726,5247,10000,10000,0.2313569337129593,0.9070544968238048,0.9694195062362656,1.6067323684692385,0.60595,0.6339393799999999,"mjj: 300 GeV, L: 3000 fb^-1",mjj_cut_08,39,2025-03-08 18:16:55.448275
14900,20982,3726,5247,10000,10000,0.2165276557207107,0.909952078457595,0.9728685798627768,1.9271907806396484,0.58395,0.60688774,"mjj: 300 GeV, L: 3000 fb^-1",mjj_cut_09,44,2025-03-08 18:19:25.498234
